time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2021-12-30,61294.4,58637.08,59531.55,3737.82,224925839.44,59937.84,direct,
2021-12-31,61966.03,57567.13,59937.84,3638.83,217998382.29,58571.43,direct,
2022-01-01,60728.9,58355.63,58571.43,4458.05,265602671.58,60487.33,direct,
2022-01-02,60758.59,58860.21,60487.33,3546.05,211755347.57,59995.07,direct,
2022-01-03,60464.22,58158.24,59995.07,4259.27,253524068.06,59331.8,direct,
2022-01-04,60501.41,57777.74,59331.8,4063.5,240062778.79,58337.03,direct,
2022-01-05,59401.1,53991.65,58337.03,963.23,56377919.25,55385.55,direct,
2022-01-06,55763.75,54131.9,55385.55,79.07,4330894.01,54919.29,direct,
2022-01-07,54919.29,51704.67,54919.29,70.88,3764023.13,52455.5,direct,
2022-01-08,53306.71,50928.89,52455.5,78.6,4096787.58,52481.24,direct,
2022-01-09,53553.83,51604.65,52481.24,61.74,3237479.61,52683.4,direct,
2022-01-10,53163.92,50048.73,52683.4,101.34,5287369.14,52835.75,direct,
2022-01-11,54279.77,52229.17,52835.75,51.24,2725851.54,53744.56,direct,
2022-01-12,55421.2,53341.77,53744.56,65.72,3578758.46,54975.38,direct,
2022-01-13,55393.87,52902.79,54975.38,55.65,3010472.71,53220.5,direct,
2022-01-14,54495.61,52296.47,53220.5,45.39,2432183.0,54098.95,direct,
2022-01-15,54946.8,53484.1,54098.95,22.5,1219528.13,54164.62,direct,
2022-01-16,54665.77,51808.75,54258.74,764.94,41432379.49,54164.22,invert_divide,ETH
2022-01-17,54169.58,52061.94,54088.55,39.97,2122868.43,52879.21,direct,
2022-01-18,53314.51,51729.55,52879.21,44.87,2350143.18,53006.52,direct,
2022-01-19,53161.69,51542.16,53006.52,38.04,1990249.8,52198.99,direct,
2022-01-20,54183.66,50771.3,52198.99,50.85,2677633.41,50822.65,direct,
2022-01-21,51383.16,44637.95,50822.65,138.07,6629253.0,45718.41,direct,
2022-01-22,46106.62,42881.17,45718.41,101.26,4492636.36,44008.29,direct,
2022-01-23,45829.76,43568.83,44008.29,47.34,2111642.29,45529.91,direct,
2022-01-24,47469.59,41577.52,45529.91,195.95,8723692.85,46106.32,direct,
